,index,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude,année,mois,duplicated
752156,2289411,2018-987606,2018-01-04,Vente,1202000.0,10.0,,AV PERCIER,7250,75008.0,75108,Paris 8e Arrondissement,75,159.2,,,,,3,2.0,Appartement,120.0,2.0,,,,2.3150049999999998,48.874705,2018,1,False
752157,2289412,2018-987607,2018-01-09,Vente,130000.0,20.0,,RUE SAINT CLAUDE,8520,75003.0,75103,Paris 3e Arrondissement,75,,,,,,4,2.0,Appartement,22.0,1.0,,,,2.365335,48.860248,2018,1,False
752158,2289415,2018-987609,2018-01-03,Vente,15000.0,12.0,,RUE VOLTA,9905,75003.0,75103,Paris 3e Arrondissement,75,8.3,,,,,1,2.0,Appartement,9.0,1.0,,,,2.3571400000000002,48.864804,2018,1,False
752159,2289416,2018-987610,2018-01-03,Vente,650000.0,174.0,,BD HAUSSMANN,4485,75008.0,75108,Paris 8e Arrondissement,75,96.58,,,,,2,2.0,Appartement,96.0,3.0,,,,2.307897,48.875378999999995,2018,1,False
752160,2289417,2018-987611,2018-01-05,Vente,3000.0,187.0,,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,,,,,,1,2.0,Appartement,58.0,3.0,,,,2.3041259999999997,48.875332,2018,1,False
752161,2289421,2018-987613,2018-01-10,Vente,1355000.0,5.0,,RUE DE FLORENCE,3682,75008.0,75108,Paris 8e Arrondissement,75,,145.4,,,,2,2.0,Appartement,140.0,4.0,,,,2.325371,48.882013,2018,1,False
752162,2289422,2018-987614,2018-01-03,Vente,148000.0,46.0,,RUE DES LOMBARDS,5738,75001.0,75101,Paris 1er Arrondissement,75,12.0,,,,,1,2.0,Appartement,12.0,1.0,,,,2.348449,48.859804,2018,1,False
752163,2289423,2018-987615,2018-01-05,Vente,235000.0,17.0,,PL DU MARCHE ST HONORE,6033,75001.0,75101,Paris 1er Arrondissement,75,,43.9,,,,2,2.0,Appartement,42.0,2.0,,,,2.331097,48.866507,2018,1,False
752164,2289424,2018-987616,2018-01-05,Vente,512000.0,17.0,,PL DU MARCHE ST HONORE,6033,75001.0,75101,Paris 1er Arrondissement,75,32.1,,,,,1,2.0,Appartement,26.0,1.0,,,,2.331097,48.866507,2018,1,False
752165,2289425,2018-987617,2018-01-08,Vente,20890.0,11.0,,RUE LA BOETIE,5194,75008.0,75108,Paris 8e Arrondissement,75,,,,,,1,2.0,Appartement,79.0,3.0,,,,2.318262,48.874026,2018,1,False
